Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Learning\Learning\Learning.csproj,File,Learning\Learning\TreeViewer.Designer.cs,78,12,T:System.Windows.Forms.Label,,,,,this.labelCheckedItems.TabIndex = 2;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Learning\Learning\Learning.csproj,File,Learning\Learning\TreeViewer.Designer.cs,78,12,P:System.Windows.Forms.Control.TabIndex,,,,,this.labelCheckedItems.TabIndex = 2;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Learning\Learning\Learning.csproj,File,Learning\Learning\TreeViewer.Designer.cs,77,12,T:System.Windows.Forms.Label,,,,,"this.labelCheckedItems.Size = new System.Drawing.Size(0, 36);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Learning\Learning\Learning.csproj,File,Learning\Learning\TreeViewer.Designer.cs,77,12,P:System.Windows.Forms.Control.Size,,,,,"this.labelCheckedItems.Size = new System.Drawing.Size(0, 36);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Learning\Learning\Learning.csproj,File,Learning\Learning\TreeViewer.Designer.cs,76,12,T:System.Windows.Forms.Label,,,,,"this.labelCheckedItems.Name = ""labelCheckedItems"";"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Learning\Learning\Learning.csproj,File,Learning\Learning\TreeViewer.Designer.cs,76,12,P:System.Windows.Forms.Control.Name,,,,,"this.labelCheckedItems.Name = ""labelCheckedItems"";"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Learning\Learning\Learning.csproj,File,Learning\Learning\TreeViewer.Designer.cs,75,12,T:System.Windows.Forms.Label,,,,,"this.labelCheckedItems.Location = new System.Drawing.Point(312, 16);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Learning\Learning\Learning.csproj,File,Learning\Learning\TreeViewer.Designer.cs,75,12,P:System.Windows.Forms.Control.Location,,,,,"this.labelCheckedItems.Location = new System.Drawing.Point(312, 16);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Learning\Learning\Learning.csproj,File,Learning\Learning\TreeViewer.Designer.cs,74,12,T:System.Drawing.GraphicsUnit,,,,,"this.labelCheckedItems.Font = new System.Drawing.Font(""Microsoft Sans Serif"", 15F, System.Drawing.FontStyle.Regular, System.Drawing.GraphicsUnit.Point, ((byte)(0)));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Learning\Learning\Learning.csproj,File,Learning\Learning\TreeViewer.Designer.cs,74,12,T:System.Drawing.GraphicsUnit,,,,,"this.labelCheckedItems.Font = new System.Drawing.Font(""Microsoft Sans Serif"", 15F, System.Drawing.FontStyle.Regular, System.Drawing.GraphicsUnit.Point, ((byte)(0)));"
